"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad"
canasto-organizador-plastico-33x17-5x15cm-varios-colores;"CANASTO ORGANIZADOR PLASTICO 33X17.5X15CM VARIOS COLORES";"NOVEDADES, ORGANIZA TU HOGAR, HOGAR";Color;Gris;;;;;1,281.51;1,025.20;0.10;10.00;10.00;10.00;2;DE8338C;;SI;NO;"<p><strong><em><span style=""color: rgb(88, 89, 91); font-family: Oswald, sans-serif; font-size: 16px;"">CANASTO ORGANIZADOR PLASTICO</span></em></strong></p>

<p><span style=""color: rgb(88, 89, 91); font-family: Oswald, sans-serif; font-size: 16px;"">Medidas: 33 cm X 17.5 cm X 15 cm&nbsp;</span></p>
";;;;;SI;;;
canasto-organizador-plastico-33x17-5x15cm-varios-colores;;;Color;"gris oscuro";;;;;1,281.51;1,025.20;0.10;10.00;10.00;10.00;2;DE8338B;;;;;;;;;;;;
canasto-organizador-plastico-33x17-5x15cm-varios-colores;;;Color;Blanco;;;;;1,281.51;1,025.20;0.10;10.00;10.00;10.00;2;DE8338A;;;;;;;;;;;;
canasto-organizador-plastico-23x165x75cm-varios-colores;"CANASTO ORGANIZADOR PLASTICO 23X16,5X7,5CM VARIOS COLORES";"NOVEDADES, ORGANIZA TU HOGAR, HOGAR";;;;;;;630.56;;0.10;10.00;10.00;10.00;2;DE8339;;SI;NO;"<p><em><strong><span style=""font-size: 13px;"">CANASTO ORGANIZADOR PLASTICO</span></strong></em></p>

<p><span style=""font-size: 13px;"">Medidas: 23X16,5X7,5CM</span></p>
";;;;;SI;;;
canasto-organizador-plastico-29x215x9cm-varios-colores;"CANASTO ORGANIZADOR PLASTICO 29X21,5X9CM VARIOS COLORES";"NOVEDADES, ORGANIZA TU HOGAR, HOGAR";Color;Gris;;;;;1,035.07;828.05;0.10;10.00;10.00;10.00;2;DE8340B;;SI;NO;"<p><em><strong><span style=""font-size: 13px;"">CANASTO ORGANIZADOR PLASTICO</span></strong></em></p>

<p><span style=""font-size: 13px;"">29X21,5X9CM</span></p>
";;;;;SI;;;
canasto-organizador-plastico-29x215x9cm-varios-colores;;;Color;"Gris oscuro";;;;;1,035.07;828.05;0.10;10.00;10.00;10.00;2;DE8340C;;;;;;;;;;;;
canasto-organizador-plastico-29x215x9cm-varios-colores;;;Color;Blanco;;;;;1,035.07;828.05;0.10;10.00;10.00;10.00;2;DE8340A;;;;;;;;;;;;
canasto-organizador-plastico-varios-colores;"CANASTO ORGANIZADOR PLASTICO VARIOS COLORES";"NOVEDADES, ORGANIZA TU HOGAR, HOGAR";Color;Celeste;;;;;1,065.51;852.48;0.10;10.00;10.00;10.00;2;DE8341C;;SI;NO;"<p><em><strong>Canasto organizador</strong></em></p>

<p>Varios colores.</p>

<p><span style=""font-size: 13px;"">Medidas: 28X21.5X14.5CM</span></p>
";;;;;SI;;;
canasto-organizador-plastico-varios-colores;;;Color;Gris;;;;;1,065.51;852.48;0.10;10.00;10.00;10.00;2;DE8341B;;;;;;;;;;;;
canasto-organizador-plastico-varios-colores;;;Color;Blanco;;;;;1,065.51;852.48;0.10;10.00;10.00;10.00;2;DE8341A;;;;;;;;;;;;
set-de-cucharas-medidoras-x5pc-30-60-80-125-250ml;"SET DE CUCHARAS MEDIDORAS X5PC (30/60/80/125/250ML)";"NOVEDADES, HOGAR > ARTS.DE COCINA";;;;;;;812.43;649.49;0.10;10.00;10.00;10.00;10;BA8295;;SI;NO;"<p>SET DE CUCHARAS MEDIDORAS X5PC</p>

<p>Incluye:</p>

<ul>
	<li>
	<p>Cuchara 30 ml</p>
	</li>
	<li>
	<p>Cuchara 60 ml</p>
	</li>
	<li>
	<p>Cuchara 80 ml</p>
	</li>
	<li>
	<p>Cuchara 125&nbsp;ml</p>
	</li>
	<li>
	<p>Cuchara 250&nbsp;ml</p>
	</li>
</ul>
";;;;;SI;;;
esponja-bola-con-mango-plastico-10x6-5-cm;"ESPONJA BOLA CON MANGO PLASTICO 10X6.5 CM";"LIMPIEZA, NOVEDADES, HOGAR > ARTS.DE COCINA";;;;;;;751.07;901.28;0.10;10.00;10.00;10.00;10;BA8308;;SI;NO;"<p>Esponja bola&nbsp;</p>

<p>Medidas: 10 cm x 6,5 cm</p>
";;;;;SI;;;
apoya-utensilios-de-cocina-19x14-cm;"APOYA UTENSILIOS DE COCINA 19X14 CM";"ORGANIZA TU HOGAR, HOGAR > UTENSILIOS";;;;;;;744.42;595.53;0.10;10.00;10.00;10.00;10;BA8310;;SI;NO;"<p>Apoya utensilios</p>

<p>Medidas: 19 cm x 14 cm</p>
";;;;;SI;;;
blanco-escurridor-de-platos-de-pl-plegable-36x30-5-cm;"BLANCO ESCURRIDOR DE PLATOS DE PL.PLEGABLE 36X30.5 CM";"NOVEDADES, HOGAR > SECAPLATOS Y CUBIERTEROS, ORGANIZA TU HOGAR";;;;;;;2,088.22;1,670.57;0.10;10.00;10.00;10.00;10;BA8325;;SI;NO;;;;;;SI;;;
aqua-escurridor-de-cubiertos-plastico-16x17-5x10cm;"AQUA ESCURRIDOR DE CUBIERTOS PLASTICO 16X17.5X10CM";"NOVEDADES, HOGAR > SECAPLATOS Y CUBIERTEROS, ORGANIZA TU HOGAR";;;;;;;1,862.57;1,490.05;0.10;10.00;10.00;10.00;10;BA8327;;SI;NO;"<p>Escurridos de cubiertos</p>

<p>Medidas:&nbsp;&nbsp;16X17.5X10CM</p>

<p>&nbsp;</p>
";;;;;SI;;;
panel-de-mica-liliana-calority-1000-2000w-blanco;"PANEL DE MICA LILIANA CALORITY 1000/2000W BLANCO";ELECTRODOMESTICOS;;;;;;;14,907.05;;0.10;10.00;10.00;10.00;10;CCCM700;;SI;NO;"<p><em><strong>Panel de mica</strong></em></p>

<p>&nbsp;</p>
";;;;;SI;;;
set-de-bano-negro-4pc-dispenser-jabonera-2-porta-cepillos-poli-mad;"SET DE BAÑO NEGRO 4PC DISPENSER JABONERA 2 PORTA CEPILLOS POLI MAD.";"ARTS. DE BAÑO";;;;;;;6,532.86;5,226.28;0.10;10.00;10.00;10.00;10;BA8212;;SI;NO;"<p>Set de ba&ntilde;o</p>

<p>Incluye:</p>

<ul>
	<li>Dispenser</li>
	<li>Jabonera</li>
	<li>2 portacepillos</li>
</ul>

<p>&nbsp;</p>
";;;;;SI;;;
set-de-bano-blanco-4pc-dispenser-jabonera-2-porta-cepillos-poli-mad;"SET DE BAÑO BLANCO 4PC DISPENSER JABONERA 2 PORTA CEPILLOS POLI MAD.";"ARTS. DE BAÑO";;;;;;;6,532.86;5,226.28;0.10;10.00;10.00;10.00;5;AB8213;;SI;NO;"<p>Set de ba&ntilde;o</p>

<p>Incluye;</p>

<ul>
	<li>Dispenser</li>
	<li>Jabonera</li>
	<li>2 Porta cepillos</li>
</ul>

<p>&nbsp;</p>

<p>&nbsp;</p>
";;;;;SI;;;
reloj-despertador-con-campana-3col-surt;"RELOJ DESPERTADOR CON CAMPANA 3COL SURT";"DECORACIÓN > RELOJES";;;;;;;2,992.59;2,394.07;0.10;10.00;10.00;10.00;5;AC7619;;SI;NO;"<p><em><strong>Reloj Despertador</strong></em></p>

<p>Medidas:&nbsp; 12 / 7CM DIAM</p>
";;;;;SI;;;
mate-pampa-boca-ancha-con-bombilla-color-turquesa;"MATE PAMPA BOCA ANCHA CON BOMBILLA COLOR TURQUESA";"HOGAR > SET YERBEROS/AZUCARERAS Y MATES";;;;;;;1,299.00;1,039.20;0.10;10.00;10.00;10.00;1;;;SI;NO;"<p><strong>MATE PAMPA BOCA ANCHA&nbsp;BOMBILLA COLOR TURQUESA</strong></p>

<ul>
	<li><strong>TERMICO CON CAMARA DE AIRE</strong></li>
	<li><strong>FACIL EXTRACCION DE YERBA</strong></li>
	<li><strong>NO NECESITA CURADO</strong></li>
	<li><strong>SUPER RESISTENTE</strong></li>
	<li><b>INDUSTRIA ARGENTINA</b></li>
</ul>
";;;;;SI;;;
set-seleccion-argentina-yerbero-azucarero-mate;"SET SELECCION ARGENTINA YERBERO + AZUCARERO + MATE";"NOVEDADES, HOGAR > SET YERBEROS/AZUCARERAS Y MATES, HOGAR > ARTS.DE COCINA";;;;;;;1,390.02;1,112.02;0.10;10.00;10.00;10.00;2;LA100012;;SI;NO;"<p>Set mate:</p>

<ul>
	<li>Yerbero</li>
	<li>Azucarero</li>
	<li>Mate</li>
</ul>

<p>&nbsp;</p>
";;;;;SI;;;
frasco-redondo-ancho-de-vidrio-17-x-17-5-cm;"FRASCO REDONDO ANCHO DE VIDRIO 17 X 17.5 CM";"NOVEDADES, HOGAR > FRASCOS DE VIDRIO, HOGAR > ARTS.DE COCINA, ORGANIZA TU HOGAR";;;;;;;2,153.79;1,723.03;0.10;10.00;10.00;10.00;5;MS117A57;;SI;NO;"<p><em><strong>Frasco redondo</strong></em></p>

<p>Medidas:&nbsp;17 cm X 17.5 cm</p>
";;;;;SI;;;
frasco-redondo-ancho-de-vidrio-175-x-12-5-cm;"FRASCO REDONDO ANCHO DE VIDRIO 17,5 X 12.5 CM";"NOVEDADES, HOGAR > FRASCOS DE VIDRIO, HOGAR > ARTS.DE COCINA, ORGANIZA TU HOGAR";;;;;;;1,902.03;1,521.62;0.10;10.00;10.00;10.00;2;MS117A58;;SI;NO;"<p><strong><em>Frasco redondo</em></strong></p>

<p>Medidas: 17,5 cm x 12,5 cm&nbsp;</p>
";;;;;SI;;;
aceitera-chicago-con-visor-black-380-ml;"ACEITERA CHICAGO CON VISOR BLACK 380 ML";"NOVEDADES, HOGAR > ARTS.DE COCINA";;;;;;;1,016.28;813.02;0.10;10.00;10.00;10.00;10;"MS502025 Costo teorico + iva";;SI;NO;"<p><em><strong>Aceitera</strong></em></p>

<p>Capacidad: 380 ml</p>
";;;;;SI;;;
aceitera-rayada-chicago-golden-black-155-ml;"ACEITERA RAYADA CHICAGO GOLDEN / BLACK 155 ML";"NOVEDADES, HOGAR > ARTS.DE COCINA, HOGAR > UTENSILIOS";Color;Negro;;;;;512.66;410.13;0.10;10.00;10.00;10.00;2;MS502033;;SI;NO;"<p><strong><em>Aceitera rayada</em></strong></p>

<p>Capacidad: 155 ml</p>
";;;;;SI;;;
aceitera-rayada-chicago-golden-black-155-ml;;;Color;Dorado;;;;;512.66;;0.10;10.00;10.00;10.00;2;MS504063;;;;;;;;;;;;
set-x2-latas-yerbero-azucarera-diamante-con-tapa-cobre;"SET X2 LATAS YERBERO + AZUCARERA DIAMANTE CON TAPA COBRE";"NOVEDADES, HOGAR > SET YERBEROS/AZUCARERAS Y MATES";Color;Negro;;;;;1,829.77;1,463.82;0.10;10.00;10.00;10.00;2;LA55096;;SI;NO;"<p><em><strong><span style=""color: rgb(88, 89, 91); font-family: Oswald, sans-serif; font-size: 16px;"">YERBERO + AZUCARERA</span></strong></em></p>
";;;;;SI;;;
set-x2-latas-yerbero-azucarera-diamante-con-tapa-cobre;;;Color;Rosa;;;;;1,829.77;;0.10;10.00;10.00;10.00;2;LA55094;;;;;;;;;;;;
set-x2-latas-yerbero-azucarera-diamante-con-tapa-cobre;;;Color;Plateado;;;;;1,829.77;;0.10;10.00;10.00;10.00;2;LA55097;;;;;;;;;;;;
cafetera-c-timer-smarty-cromada;"CAFETERA C/TIMER SMARTY CROMADA";"ELECTRODOMESTICOS, NOVEDADES, HOGAR > CAFETERAS";;;;;;;10,178.23;;0.10;10.00;10.00;10.00;2;AAC964;;SI;NO;"<p><em><strong>Cafetera Liliana</strong></em></p>

<ul>
	<li style=""box-sizing: border-box;"">Tipo de cafetera: de filtro</li>
	<li style=""box-sizing: border-box;"">Capacidad: 1,8 litros</li>
	<li style=""box-sizing: border-box;"">Display digital con timer programable</li>
	<li style=""box-sizing: border-box;"">Mantiene la temperatura</li>
	<li style=""box-sizing: border-box;"">Apagado autom&aacute;tico</li>
	<li style=""box-sizing: border-box;"">Luz indicadora de encendido</li>
	<li style=""box-sizing: border-box;"">Base antideslizante</li>
	<li style=""box-sizing: border-box;"">Visor de nivel de agua</li>
	<li style=""box-sizing: border-box;"">Dise&ntilde;o con aplicaciones de acero inoxidable</li>
	<li style=""box-sizing: border-box; margin-bottom: 0px;"">Potencia: 900 watts</li>
</ul>
";;;;;SI;;;
bowl-cerealero-760cc;"BOWL CEREALERO 760CC";"NOVEDADES, HOGAR > BOWLS Y ENSALADERAS";;;;;;;338.20;270.56;0.10;10.00;10.00;10.00;6;RI67417GR;;SI;NO;"<p><em><strong>Bowl cerealero&nbsp;</strong></em></p>

<p>Capacidad: 760 cc&nbsp;</p>

<p>Medidas:&nbsp;15CM X 6CM&nbsp;</p>

<p>&nbsp;</p>
";;;;;SI;;;
mug-taza-dia-del-padre;"MUG TAZA DIA DEL PADRE";"NOVEDADES, HOGAR > TAZAS/MUG Y TETERAS";FRASE;"ESTE TIPO GENIAL";;;;;1,078.99;863.19;0.10;10.00;10.00;10.00;2;NG3015P;;SI;NO;"<p><em><strong><font color=""#58595b"" face=""Oswald, sans-serif""><span style=""font-size: 14px;"">Mug dia del padre</span></font></strong></em></p>

<p><font color=""#58595b"" face=""Oswald, sans-serif""><span style=""font-size: 14px;"">Capacidad: 350 ML</span></font></p>

<p>&nbsp;</p>
";;;;;SI;;;
mug-taza-dia-del-padre;;;FRASE;"PAPA ES UNA PALABRA";;;;;1,078.99;;0.10;10.00;10.00;10.00;2;NG3014P;;;;;;;;;;;;
mug-taza-dia-del-padre;;;FRASE;"PAPA CUANDO ME EQUIVOCO";;;;;1,078.99;;0.10;10.00;10.00;10.00;2;NG3013P;;;;;;;;;;;;
mug-taza-dia-del-padre;;;FRASE;#1;;;;;1,078.99;;0.10;10.00;10.00;10.00;2;NG3012P;;;;;;;;;;;;
mug-taza-dia-del-padre;;;FRASE;"LA VIDA ES UN VIAJE";;;;;1,078.99;;0.10;10.00;10.00;10.00;2;NG3011P;;;;;;;;;;;;
mug-taza-dia-del-padre;;;FRASE;"PAPA TE QUIERO";;;;;1,078.99;;0.10;10.00;10.00;10.00;2;NG3010P;;;;;;;;;;;;
mug-taza-dia-del-padre;;;FRASE;"ME HAN LLAMADO";;;;;1,078.99;;0.10;10.00;10.00;10.00;2;NG3009P;;;;;;;;;;;;
colador-de-plastico-varios-colores;"Colador de plastico varios colores";"NOVEDADES, HOGAR > ARTS.DE COCINA, HOGAR > UTENSILIOS";Color;Negro;;;;;738.14;590.51;0.10;10.00;10.00;10.00;1;BP77002;;SI;NO;"<p><em><strong>Colador</strong></em></p>

<p>Medidas: diametro 22,5 cm x 9,5 cm alto</p>
";;;;;SI;;;
colador-de-plastico-varios-colores;;;Color;Blanco;;;;;738.14;;0.10;10.00;10.00;10.00;2;BP77001;;;;;;;;;;;;
colador-de-plastico-varios-colores;;;Color;Menta;;;;;738.14;;0.10;10.00;10.00;10.00;2;BP77019;;;;;;;;;;;;
colador-de-plastico-varios-colores;;;Color;Rosa;;;;;738.14;;0.10;10.00;10.00;10.00;2;BP77018;;;;;;;;;;;;
exprimidor-de-citricos-clasico-16cm-x-10cm;"EXPRIMIDOR DE CITRICOS CLASICO 16CM X 10CM";"HOGAR > ARTS.DE COCINA";Color;Negro;;;;;971.46;777.17;0.10;10.00;10.00;10.00;2;;;SI;NO;"<pre>
<em>Expremidor de citricos </em></pre>

<p>Medidas: 16 cm x 10 cm&nbsp;</p>

<p>Consulte por stock de colores disponibles.&nbsp;</p>
";;;;;SI;;;
exprimidor-de-citricos-clasico-16cm-x-10cm;;;Color;Blanco;;;;;971.46;;0.10;10.00;10.00;10.00;2;;;;;;;;;;;;;
exprimidor-de-citricos-clasico-16cm-x-10cm;;;Color;Gris;;;;;971.46;;0.10;10.00;10.00;10.00;2;;;;;;;;;;;;;
picador-de-ajo-manual-colores-pastel;"PICADOR DE AJO MANUAL COLORES PASTEL";"HOGAR > ARTS.DE COCINA, HOGAR > UTENSILIOS";Color;Rosa;;;;;457.61;366.09;0.10;10.00;10.00;10.00;2;BA88527;;SI;NO;"<pre>
<em>Picador de ajo</em></pre>

<p>Medidas: 6,5 cm diametro</p>

<p>Consulte por colores disponibles</p>
";;;;;SI;;;
picador-de-ajo-manual-colores-pastel;;;Color;Violeta;;;;;457.61;;0.10;10.00;10.00;10.00;2;BA88527;;;;;;;;;;;;
picador-de-ajo-manual-colores-pastel;;;Color;Verde;;;;;457.61;;0.10;10.00;10.00;10.00;2;BA88527;;;;;;;;;;;;
picador-de-ajo-manual-colores-pastel;;;Color;Celeste;;;;;457.61;;0.10;10.00;10.00;10.00;2;BA88527;;;;;;;;;;;;
cubetera-celeste-con-oso-polar-21-5cm-x-13-5cm;"CUBETERA CELESTE CON OSO POLAR 21.5CM X 13.5CM";"HOGAR > ARTS.DE COCINA > Cubeteras / Hielera, NOVEDADES";;;;;;;352.79;282.23;0.10;10.00;10.00;10.00;2;BA88506;;SI;NO;"<pre>
<em>Cubetera polar</em></pre>

<p>Medidas: 21,5 cm x 13,5 cm&nbsp;</p>
";;;;;SI;;;
cubetera-con-contenedor-colores-pasteles-27-5cm-x-12-5cm;"CUBETERA CON CONTENEDOR COLORES PASTELES 27.5CM X 12.5CM";"HOGAR > ARTS.DE COCINA > Cubeteras / Hielera";Color;Violeta;;;;;792.51;634.01;0.10;10.00;10.00;10.00;2;;;SI;NO;"<pre>
<em>Cubetera con contenedor</em></pre>

<p>Medidas:&nbsp;<span style=""font-size: 13px;"">&nbsp;27.5 cm&nbsp;X 12.5 cm</span></p>

<p><span style=""font-size: 13px;"">Consulte por colores disponibles.</span></p>
";;;;;SI;;;
cubetera-con-contenedor-colores-pasteles-27-5cm-x-12-5cm;;;Color;Rosa;;;;;792.51;;0.10;10.00;10.00;10.00;2;;;;;;;;;;;;;
cubetera-con-contenedor-colores-pasteles-27-5cm-x-12-5cm;;;Color;Verde;;;;;792.51;;0.10;10.00;10.00;10.00;2;;;;;;;;;;;;;
cubetera-con-contenedor-colores-pasteles-27-5cm-x-12-5cm;;;Color;Celeste;;;;;792.51;;0.10;10.00;10.00;10.00;2;;;;;;;;;;;;;
tapon-filtro-pileta-pastel;"TAPON FILTRO PILETA PASTEL";"NOVEDADES, LIMPIEZA, HOGAR > ARTS.DE COCINA";Color;Violeta;;;;;97.15;;0.10;10.00;10.00;10.00;2;BA87589;;SI;NO;"<pre>
<em>Tapon filtro para bacha</em></pre>

<p>Consulte por colores disponibles.&nbsp;</p>
";;;;;SI;;;
tapon-filtro-pileta-pastel;;;Color;Rosa;;;;;97.15;;0.10;10.00;10.00;10.00;2;BA87589;;;;;;;;;;;;
tapon-filtro-pileta-pastel;;;Color;Azul;;;;;97.15;;0.10;10.00;10.00;10.00;2;BA87589;;;;;;;;;;;;
tapon-filtro-pileta-pastel;;;Color;Verde;;;;;97.15;;0.10;10.00;10.00;10.00;2;BA87589;;;;;;;;;;;;
taza-nespresso-pastel-165-ml;"TAZA NESPRESSO PASTEL 165 ML";"NOVEDADES, HOGAR > TAZAS/MUG Y TETERAS";Color;Rosa;;;;;281.21;224.97;0.10;10.00;10.00;10.00;2;BA87551;;SI;NO;"<pre>
<em>TAZA NESPRESSO </em></pre>

<p>Capacidad: 165 ml&nbsp;</p>

<p>Consulte por colores disponibles</p>
";;;;;SI;;;
taza-nespresso-pastel-165-ml;;;Color;Violeta;;;;;281.21;;0.10;10.00;10.00;10.00;2;BA87551;;;;;;;;;;;;
taza-nespresso-pastel-165-ml;;;Color;Celeste;;;;;281.21;;0.10;10.00;10.00;10.00;2;BA87551;;;;;;;;;;;;
taza-nespresso-pastel-165-ml;;;Color;Verde;;;;;281.21;;0.10;10.00;10.00;10.00;2;BA87551;;;;;;;;;;;;
vaso-rayado-con-tapa-pastel-290-ml;"VASO RAYADO CON TAPA PASTEL 290 ML";"NOVEDADES, HOGAR > VASOS Y COPAS";Color;Rosa;;;;;508.74;406.99;0.10;10.00;10.00;10.00;2;BA87514;;SI;NO;"<p><em>Vaso rayado</em></p>

<p>Capacidad 290 ml&nbsp;</p>

<p>Consulte por colores disponibles.</p>
";;;;;SI;;;
vaso-rayado-con-tapa-pastel-290-ml;;;Color;Violeta;;;;;508.74;;0.10;10.00;10.00;10.00;2;BA87514;;;;;;;;;;;;
vaso-rayado-con-tapa-pastel-290-ml;;;Color;Verde;;;;;508.74;;0.10;10.00;10.00;10.00;2;BA87514;;;;;;;;;;;;
vaso-rayado-con-tapa-pastel-290-ml;;;Color;Celeste;;;;;508.74;;0.10;10.00;10.00;10.00;2;BA87514;;;;;;;;;;;;
combo-set-yerbera-azucarera-mate-sweet;"COMBO SET YERBERA + AZUCARERA + MATE ""SWEET""";"NOVEDADES, HOGAR > SET YERBEROS/AZUCARERAS Y MATES";DISEÑO;Cactus;;;;;1,063.80;851.04;0.10;10.00;10.00;10.00;0;LA77023;;SI;NO;"<p>Combo set matero</p>

<p>Incluye;</p>

<ul>
	<li>
	<p>Yerbera</p>
	</li>
	<li>
	<p>Azucarera</p>
	</li>
	<li>
	<p>Mate</p>
	</li>
</ul>

<p>Consulte por modelos disponibles.</p>
";;;;;SI;;;
combo-set-yerbera-azucarera-mate-sweet;;;DISEÑO;"Flores doradas";;;;;1,063.80;;0.10;10.00;10.00;10.00;2;LA77023;;;;;;;;;;;;
combo-set-yerbera-azucarera-mate-sweet;;;DISEÑO;"Flores rosa";;;;;1,063.80;;0.10;10.00;10.00;10.00;2;LA77023;;;;;;;;;;;;
lata-yerbera-stay-strong-negro-con-lineas;"LATA YERBERA ""STAY STRONG"" NEGRO CON LINEAS";"NOVEDADES, HOGAR > LATAS GALLETITAS , HOGAR > SET YERBEROS/AZUCARERAS Y MATES";Color;Negro;;;;;510.62;408.50;0.10;10.00;10.00;10.00;2;;;SI;NO;"<p><em>Lata yerbera</em></p>

<p>Consulte disponibilidad de colores.</p>

<p>Medidas:&nbsp;18 cm&nbsp;X 9 cm diametro</p>
";;;;;SI;;;
lata-yerbera-stay-strong-negro-con-lineas;;;Color;Marrón;;;;;510.62;;0.10;10.00;10.00;10.00;2;;;;;;;;;;;;;
lata-yerbera-stay-strong-varios-colores;"LATA YERBERA ""STAY STRONG"" VARIOS COLORES";"NOVEDADES, HOGAR > LATAS GALLETITAS , HOGAR > SET YERBEROS/AZUCARERAS Y MATES";Color;Rosa;;;;;510.62;408.50;0.10;10.00;10.00;10.00;2;"LA11029 MERCA SEPA COSTO TEORICO";;SI;NO;"<p><em>Lata Yerbera&nbsp;</em></p>

<p>Consulte por disponibilidad de colores.</p>

<p><span style=""font-size: 13px;"">Medidas: 18 cm&nbsp;&nbsp;X 9 cm diametro</span></p>
";;;;;SI;;;
lata-yerbera-stay-strong-varios-colores;;;Color;Negro;;;;;510.62;;0.10;10.00;10.00;10.00;2;"LA11026 MERCA SEPA COSTO TEORICO";;;;;;;;;;;;
lata-yerbera-stay-strong-varios-colores;;;Color;Gris;;;;;510.62;;0.10;10.00;10.00;10.00;2;"LA11027 MERCA SEPA COSTO TEORICO";;;;;;;;;;;;
lata-yerbera-stay-strong-varios-colores;;;Color;Blanco;;;;;510.62;;0.10;10.00;10.00;10.00;2;"LA11028 MERCA SEPA COSTO TEORICO";;;;;;;;;;;;
lata-yerbera-stay-strong-varios-colores;;;Color;"Rosa pastel";;;;;510.62;;0.10;10.00;10.00;10.00;2;"LA11031 MERCA SEPA COSTO TEORICO";;;;;;;;;;;;
lata-yerbera-stay-strong-varios-colores;;;Color;Violeta;;;;;510.62;;0.10;10.00;10.00;10.00;2;"LA11030 MERCA SEPA COSTO TEORICO";;;;;;;;;;;;
lata-yerbera-stay-strong-varios-colores;;;Color;Verde;;;;;510.62;;0.10;10.00;10.00;10.00;2;"LA11032 MERCA SEPA COSTO TEORICO";;;;;;;;;;;;
mantequera-de-plastico-lila-gris;"MANTEQUERA DE PLASTICO LILA / GRIS";"HOGAR > ARTS.DE COCINA, ORGANIZA TU HOGAR";Color;Gris;;;;;784.99;627.99;0.10;10.00;10.00;10.00;2;"BA6963 MERCA SEPA";;SI;NO;"<p><em>Mantequera de plastico</em></p>

<p>Medidas:&nbsp;&nbsp;16,5 cm X 12,7 cm X 7 cm</p>
";;;;;SI;;;
mantequera-de-plastico-lila-gris;;;Color;Lila;;;;;784.99;;0.10;10.00;10.00;10.00;1;"BA6963 MERCA SEPA";;;;;;;;;;;;
maceta-lata-decorada-azul;"MACETA / LATA DECORADA AZUL";JARDÍN;;;;;;;555.92;444.74;0.10;10.00;10.00;10.00;10;LM7108;;SI;NO;"<p>Maceta / Lata</p>

<p>Medidas:&nbsp;9,5 cm X 11 cm</p>
";;;;;SI;;;
maceta-lata-deco-cartera-lavender;"MACETA / LATA DECO CARTERA LAVENDER";JARDÍN;;;;;;;1,374.12;1,099.30;0.10;10.00;10.00;10.00;10;LM4502;;SI;NO;"<p>Maceta / Lata</p>

<p>Medidas:&nbsp;15 cm X 8 cm X 27 cm - 18 cm</p>
";;;;;SI;;;
maceta-lata-chica-con-soga-flowers;"MACETA / LATA CHICA CON SOGA ""FLOWERS""";JARDÍN;;;;;;;567.52;454.02;0.10;10.00;10.00;10.00;10;LM7139;;NO;NO;"<p><em>Maceta / Lata</em></p>

<p>Leyenda: FLOWERS</p>

<p>Medidas: 18 cm x 10 cm</p>
";;;;;SI;;;
maceta-lata-chica-garden;"MACETA / LATA CHICA ""GARDEN""";JARDÍN;;;;;;;582.08;465.66;0.10;10.00;10.00;10.00;10;LM7129;;SI;NO;"<p>Maceta / Lata</p>

<p>Leyenda: GARDEN</p>

<p>Medidas: 20 cm x 13 cm</p>
";;;;;SI;;;
maceta-lata-grande-garden;"MACETA / LATA GRANDE ""GARDEN""";JARDÍN;;;;;;;776.66;621.33;0.10;10.00;10.00;10.00;10;LM7128;;SI;NO;"<p>Maceta / Lata&nbsp;</p>

<p>Leyenda:&nbsp;GARDEN</p>

<p>Medidas:&nbsp;&nbsp;22 cm X 13 cm&nbsp;</p>
";;;;;SI;;;
maceta-lata-chica-azul-flowers;"MACETA / LATA CHICA AZUL ""FLOWERS""";JARDÍN;;;;;;;588.63;470.90;0.10;10.00;10.00;10.00;10;LM7121;;SI;NO;"<p>Maceta / Lata</p>

<p>Leyenda: FLOWERS</p>

<p>Medidas:&nbsp;20 cm x 13 cm</p>
";;;;;SI;;;
maceta-lata-grande-azul-flowers;"MACETA / LATA GRANDE AZUL ""FLOWERS""";JARDÍN;;;;;;;621.32;497.06;0.10;10.00;10.00;10.00;10;LM7120;;SI;NO;"<p><em>Maceta / Lata&nbsp;</em></p>

<p>Leyenda: FLOWERS</p>

<p>Medidas: 22 cm x 13 cm&nbsp;</p>
";;;;;SI;;;
maceta-lata-decorada-flowers;"MACETA / LATA DECORADA ""FLOWERS""";;;;;;;;457.80;;0.10;10.00;10.00;10.00;10;LM7117;;SI;NO;"<p><em>Maceta / Lata decorada&nbsp;</em></p>

<p><span style=""font-size: 13px;"">Medidas: 10 cm X 13 cm</span></p>
";;;;;SI;;;
maceta-lata-regadera-grande-garden;"MACETA / LATA REGADERA GRANDE ""GARDEN""";JARDÍN;;;;;;;686.73;549.38;0.10;10.00;10.00;10.00;10;LM7114;;SI;NO;"<p><em>Maceta / Lata regadera&nbsp;</em></p>

<p>Medidas:&nbsp;13 cm</p>
";;;;;SI;;;
